date,regime_label,regime_prob,method
2011-05-09,Normal,5.186153290561315e-10,HMM
2011-05-10,Normal,4.168363182868801e-10,HMM
2011-05-11,Normal,4.044662101564948e-10,HMM
2011-05-12,Normal,4.323932937432815e-10,HMM
2011-05-13,Normal,4.320013551554154e-10,HMM
2011-05-16,Normal,5.00167432227591e-10,HMM
2011-05-17,Normal,4.4855327399748546e-10,HMM
2011-05-18,Normal,3.956073800786669e-10,HMM
2011-05-19,Normal,4.0857581433392136e-10,HMM
2011-05-20,Normal,4.1851164981352794e-10,HMM
2011-05-23,Normal,4.168831515274201e-10,HMM
2011-05-24,Normal,4.2291073879871065e-10,HMM
2011-05-25,Normal,4.015464502163959e-10,HMM
2011-05-26,Normal,4.0352433381428456e-10,HMM
2011-05-27,Normal,4.0547512868514523e-10,HMM
2011-05-31,Normal,3.9227417745106154e-10,HMM
2011-06-01,Normal,3.917436221704908e-10,HMM
2011-06-02,Normal,3.982173346971345e-10,HMM
2011-06-03,Normal,4.070557019054995e-10,HMM
2011-06-06,Normal,8.573562810932678e-10,HMM
2011-06-07,Normal,8.771009622945996e-10,HMM
2011-06-08,Normal,8.458565785043918e-10,HMM
2011-06-09,Normal,1.0120698822743082e-9,HMM
2011-06-10,Normal,1.0454814849130243e-9,HMM
2011-06-13,Normal,1.1226399291028842e-9,HMM
2011-06-14,Normal,1.1200887653199268e-9,HMM
2011-06-15,Normal,8.228260050991497e-10,HMM
2011-06-16,Normal,1.0045439294476736e-9,HMM
2011-06-17,Normal,1.0939118471287268e-9,HMM
2011-06-20,Normal,1.071936934627935e-9,HMM
2011-06-21,Normal,1.1149693071084305e-9,HMM
2011-06-22,Normal,1.1081920869717853e-9,HMM
2011-06-23,Normal,8.865522786797847e-10,HMM
2011-06-24,Normal,8.374025909192495e-10,HMM
2011-06-27,Normal,8.461941945801045e-10,HMM
2011-06-28,Normal,7.431578521654847e-10,HMM
2011-06-29,Normal,6.577353839038363e-10,HMM
2011-06-30,Normal,6.603528952999278e-10,HMM
2011-07-01,Normal,6.580105388528828e-10,HMM
2011-07-05,Normal,5.862551004032223e-10,HMM
2011-07-06,Normal,5.861080329440943e-10,HMM
