ticker,fold,test_start,test_end,oos_accuracy,oos_precision,oos_recall,n_test
NVDA,23,2019-06-01T00:00:00.000,2019-09-01T00:00:00.000,0.796875,0.8478260869565217,0.8666666666666667,64
NVDA,24,2019-09-01T00:00:00.000,2019-12-01T00:00:00.000,0.5079365079365079,0.9090909090909091,0.5172413793103449,63
NVDA,25,2019-12-01T00:00:00.000,2020-03-01T00:00:00.000,0.5081967213114754,0.7073170731707317,0.6170212765957447,61
NVDA,26,2020-03-01T00:00:00.000,2020-06-01T00:00:00.000,0.9354838709677419,0.9354838709677419,1.0,62
NVDA,27,2020-06-01T00:00:00.000,2020-09-01T00:00:00.000,0.9384615384615385,0.9384615384615385,1.0,65
NVDA,28,2020-09-01T00:00:00.000,2020-12-01T00:00:00.000,0.4375,0.4444444444444444,0.9655172413793104,64
NVDA,29,2020-12-01T00:00:00.000,2021-03-01T00:00:00.000,0.5081967213114754,0.5081967213114754,1.0,61
NVDA,30,2021-03-01T00:00:00.000,2021-06-01T00:00:00.000,0.8095238095238095,0.8448275862068966,0.9423076923076923,63
NVDA,31,2021-06-01T00:00:00.000,2021-09-01T00:00:00.000,0.6307692307692307,0.782608695652174,0.72,65
NVDA,32,2021-09-01T00:00:00.000,2021-12-01T00:00:00.000,0.546875,0.5862068965517241,0.8717948717948718,64
NVDA,33,2021-12-01T00:00:00.000,2022-03-01T00:00:00.000,0.4,0.2857142857142857,0.9333333333333333,60
NVDA,34,2022-03-01T00:00:00.000,2022-06-01T00:00:00.000,0.30158730158730157,0.20408163265306123,0.6666666666666666,63
NVDA,35,2022-06-01T00:00:00.000,2022-09-01T00:00:00.000,0.5238095238095238,0.0,0.0,63
NVDA,36,2022-09-01T00:00:00.000,2022-12-01T00:00:00.000,0.4444444444444444,1.0,0.16666666666666666,63
NVDA,37,2022-12-01T00:00:00.000,2023-03-01T00:00:00.000,0.48333333333333334,0.8846153846153846,0.45098039215686275,60
NVDA,38,2023-03-01T00:00:00.000,2023-06-01T00:00:00.000,0.5645161290322581,0.9444444444444444,0.576271186440678,62
NVDA,39,2023-06-01T00:00:00.000,2023-09-01T00:00:00.000,0.5625,0.6923076923076923,0.75,64
NVDA,40,2023-09-01T00:00:00.000,2023-12-01T00:00:00.000,0.671875,0.6610169491525424,0.975,64
NVDA,41,2023-12-01T00:00:00.000,2024-03-01T00:00:00.000,0.819672131147541,1.0,0.819672131147541,61
NVDA,42,2024-03-01T00:00:00.000,2024-06-01T00:00:00.000,0.6612903225806451,0.6842105263157895,0.9285714285714286,62
NVDA,43,2024-06-01T00:00:00.000,2024-09-01T00:00:00.000,0.41935483870967744,0.4375,0.7,62
TSM,0,2013-09-01T00:00:00.000,2013-12-01T00:00:00.000,0.49206349206349204,0.4838709677419355,1.0,63
TSM,1,2013-12-01T00:00:00.000,2014-03-01T00:00:00.000,0.45901639344262296,0.5714285714285714,0.7,61
TSM,2,2014-03-01T00:00:00.000,2014-06-01T00:00:00.000,0.6507936507936508,0.9487179487179487,0.6491228070175439,63
TSM,3,2014-06-01T00:00:00.000,2014-09-01T00:00:00.000,0.59375,0.5689655172413793,0.9705882352941176,64
TSM,4,2014-09-01T00:00:00.000,2014-12-01T00:00:00.000,0.6875,0.6808510638297872,0.8648648648648649,64
TSM,5,2014-12-01T00:00:00.000,2015-03-01T00:00:00.000,0.7049180327868853,0.6981132075471698,0.9487179487179487,61
TSM,6,2015-03-01T00:00:00.000,2015-06-01T00:00:00.000,0.75,0.6,0.8181818181818182,64
TSM,7,2015-06-01T00:00:00.000,2015-09-01T00:00:00.000,0.36923076923076925,0.23809523809523808,0.5263157894736842,65
TSM,8,2015-09-01T00:00:00.000,2015-12-01T00:00:00.000,0.75,0.9361702127659575,0.7719298245614035,64
TSM,9,2015-12-01T00:00:00.000,2016-03-01T00:00:00.000,0.6451612903225806,0.6451612903225806,1.0,62
TSM,10,2016-03-01T00:00:00.000,2016-06-01T00:00:00.000,0.6153846153846154,0.5833333333333334,1.0,65
TSM,11,2016-06-01T00:00:00.000,2016-09-01T00:00:00.000,0.7121212121212122,0.9361702127659575,0.7333333333333333,66
TSM,12,2016-09-01T00:00:00.000,2016-12-01T00:00:00.000,0.5,0.4666666666666667,1.0,64
TSM,13,2016-12-01T00:00:00.000,2017-03-01T00:00:00.000,0.45,0.8888888888888888,0.4444444444444444,60
TSM,14,2017-03-01T00:00:00.000,2017-06-01T00:00:00.000,0.8615384615384616,0.8615384615384616,1.0,65
TSM,15,2017-06-01T00:00:00.000,2017-09-01T00:00:00.000,0.8333333333333334,0.8461538461538461,0.9821428571428571,66
TSM,16,2017-09-01T00:00:00.000,2017-12-01T00:00:00.000,0.625,0.6440677966101694,0.926829268292683,64
