date,series_id,value
2011-07-18,OIL_BRENT,117.05
2011-07-19,OIL_BRENT,118.18
2011-07-20,OIL_BRENT,118.52
2011-07-21,OIL_BRENT,118.25
2011-07-22,OIL_BRENT,118.99
2011-07-25,OIL_BRENT,118.27
2011-07-26,OIL_BRENT,118.14
2011-07-27,OIL_BRENT,117.99
2011-07-28,OIL_BRENT,118.16
2011-07-29,OIL_BRENT,115.93
2011-08-01,OIL_BRENT,116.37
2011-08-02,OIL_BRENT,116.02
2011-08-03,OIL_BRENT,113.74
2011-08-04,OIL_BRENT,110.22
2011-08-05,OIL_BRENT,106.92
2011-08-08,OIL_BRENT,103.06
2011-08-09,OIL_BRENT,103.63
2011-08-10,OIL_BRENT,103.84
2011-08-11,OIL_BRENT,107.82
2011-08-12,OIL_BRENT,108.17
2011-08-15,OIL_BRENT,108.89
2011-08-16,OIL_BRENT,109.69
2011-08-17,OIL_BRENT,111.37
2011-08-18,OIL_BRENT,108.36
2011-08-19,OIL_BRENT,109.37
2011-08-22,OIL_BRENT,108.83
2011-08-23,OIL_BRENT,110.35
2011-08-24,OIL_BRENT,111.91
2011-08-25,OIL_BRENT,111.91
2011-08-26,OIL_BRENT,112.29
2011-08-30,OIL_BRENT,115.59
2011-08-31,OIL_BRENT,116.48
2011-09-01,OIL_BRENT,116.43
2011-09-02,OIL_BRENT,115.92
2011-09-06,OIL_BRENT,113.29
2011-09-07,OIL_BRENT,117.5
2011-09-08,OIL_BRENT,117.99
2011-09-09,OIL_BRENT,115.1
2011-09-12,OIL_BRENT,114.75
2011-09-13,OIL_BRENT,114.08
2011-09-14,OIL_BRENT,113.1
2011-09-15,OIL_BRENT,116.71
2011-09-16,OIL_BRENT,116.26
2011-09-19,OIL_BRENT,112.89
2011-09-20,OIL_BRENT,114.39
2011-09-21,OIL_BRENT,114.26
2011-09-22,OIL_BRENT,109.21
2011-09-23,OIL_BRENT,109.17
2011-09-26,OIL_BRENT,107.9
2011-09-27,OIL_BRENT,109.54
2011-09-28,OIL_BRENT,108.52
2011-09-29,OIL_BRENT,107.08
2011-09-30,OIL_BRENT,105.42
2011-10-03,OIL_BRENT,103.61
2011-10-04,OIL_BRENT,101.84
